STATIONS_ID,MESS_DATUM,QN_3,  FX,  FM,QN_4, RSK,RSKF, SDK,SHK_TAG,  NM, VPM,  PM, TMK, UPM, TXK, TNK, TGK,eor,PARAMETER_TYPE,STATIONS_ID_kl,QN_3_kl,  FX_kl,  FM_kl,QN_4_kl, RSK_kl,RSKF_kl, SDK_kl,SHK_TAG_kl,  NM_kl, VPM_kl,  PM_kl, TMK_kl, UPM_kl, TXK_kl, TNK_kl, TGK_kl,eor_kl,PARAMETER_TYPE_kl
2947,2024-09-26,-999,-999,-999,10,6.7,4,-999,-999,-999,14.9,-999,15.1,87.0,17.7,13.0,10.7,eor,kl,2947,-999,-999,-999,10,6.7,4,-999,-999,-999,14.9,-999,15.1,87.0,17.7,13.0,10.7,eor,kl
2947,2024-09-27,-999,-999,-999,10,6.2,4,-999,-999,-999,11.2,-999,12.5,78.0,15.3,10.1,8.4,eor,kl,2947,-999,-999,-999,10,6.2,4,-999,-999,-999,11.2,-999,12.5,78.0,15.3,10.1,8.4,eor,kl
2947,2024-09-28,-999,-999,-999,10,4.2,4,-999,-999,-999,10.1,-999,9.0,88.0,12.5,5.4,3.7,eor,kl,2947,-999,-999,-999,10,4.2,4,-999,-999,-999,10.1,-999,9.0,88.0,12.5,5.4,3.7,eor,kl
2947,2024-09-29,-999,-999,-999,10,0.0,0,-999,-999,-999,9.0,-999,9.2,79.0,12.7,5.8,5.3,eor,kl,2947,-999,-999,-999,10,0.0,0,-999,-999,-999,9.0,-999,9.2,79.0,12.7,5.8,5.3,eor,kl
2947,2024-09-30,-999,-999,-999,10,2.5,4,-999,-999,-999,10.5,-999,10.7,80.0,13.8,8.1,4.8,eor,kl,2947,-999,-999,-999,10,2.5,4,-999,-999,-999,10.5,-999,10.7,80.0,13.8,8.1,4.8,eor,kl
2947,2024-10-01,-999,-999,-999,10,3.5,4,-999,0,-999,12.6,-999,12.0,90.0,13.9,10.2,9.7,eor,kl,2947,-999,-999,-999,10,3.5,4,-999,0,-999,12.6,-999,12.0,90.0,13.9,10.2,9.7,eor,kl
2947,2024-10-02,-999,-999,-999,10,5.5,4,-999,0,-999,11.7,-999,10.2,94.0,13.0,8.4,6.5,eor,kl,2947,-999,-999,-999,10,5.5,4,-999,0,-999,11.7,-999,10.2,94.0,13.0,8.4,6.5,eor,kl
2947,2024-10-03,-999,-999,-999,10,0.0,0,-999,0,-999,9.7,-999,8.9,86.0,11.3,6.7,2.3,eor,kl,2947,-999,-999,-999,10,0.0,0,-999,0,-999,9.7,-999,8.9,86.0,11.3,6.7,2.3,eor,kl
2947,2024-10-04,-999,-999,-999,10,0.0,0,-999,0,-999,9.5,-999,8.6,86.0,13.6,3.4,0.1,eor,kl,2947,-999,-999,-999,10,0.0,0,-999,0,-999,9.5,-999,8.6,86.0,13.6,3.4,0.1,eor,kl
2947,2024-10-05,-999,-999,-999,10,0.0,0,-999,0,-999,8.4,-999,6.5,88.0,14.0,1.9,-0.6,eor,kl,2947,-999,-999,-999,10,0.0,0,-999,0,-999,8.4,-999,6.5,88.0,14.0,1.9,-0.6,eor,kl
